,ds,y,view_duration
182,2017-04-08 14:00:00,1547.0,7105194.0
183,2017-04-08 15:00:00,1739.0,8135597.0
184,2017-04-08 16:00:00,691.0,3629800.0
185,2017-04-08 17:00:00,740.0,6140892.0
186,2017-04-08 18:00:00,1354.0,9142947.0
187,2017-04-08 19:00:00,1081.0,4873933.0
188,2017-04-08 20:00:00,792.0,7058423.0
189,2017-04-08 21:00:00,710.0,5977000.0
190,2017-04-08 22:00:00,1141.0,5994277.0
191,2017-04-08 23:00:00,375.0,2252000.0
192,2017-04-09 00:00:00,1034.0,5432892.0
193,2017-04-09 01:00:00,166.0,625000.0
194,2017-04-09 02:00:00,205.0,1164000.0
195,2017-04-09 03:00:00,27.0,157000.0
196,2017-04-09 04:00:00,121.0,384344.0
197,2017-04-09 05:00:00,60.0,579000.0
198,2017-04-09 06:00:00,230.0,1366038.0
199,2017-04-09 07:00:00,825.0,4316197.0
200,2017-04-09 08:00:00,1792.0,13253437.0
201,2017-04-09 09:00:00,2143.0,16292000.0
202,2017-04-09 10:00:00,1713.0,8429720.0
203,2017-04-09 11:00:00,1059.0,8723110.0
204,2017-04-09 12:00:00,1441.0,11273153.0
205,2017-04-09 13:00:00,2505.0,9698113.0
206,2017-04-09 14:00:00,1345.0,7496214.0
207,2017-04-09 15:00:00,1710.0,9963604.0
208,2017-04-09 16:00:00,945.0,7715299.0
209,2017-04-09 17:00:00,1971.0,10971617.0
210,2017-04-09 18:00:00,1644.0,15468575.0
211,2017-04-09 19:00:00,1999.0,12937880.0
212,2017-04-09 20:00:00,2250.0,15282933.0
213,2017-04-09 21:00:00,2153.0,15577355.0
214,2017-04-09 22:00:00,2825.0,20473730.0
215,2017-04-09 23:00:00,1280.0,5276284.0
216,2017-04-10 00:00:00,1512.0,8843473.0
217,2017-04-10 01:00:00,374.0,2309000.0
218,2017-04-10 02:00:00,264.0,1451000.0
219,2017-04-10 03:00:00,159.0,420178.0
220,2017-04-10 04:00:00,273.0,2955900.0
221,2017-04-10 05:00:00,258.0,1440597.0
222,2017-04-10 06:00:00,927.0,8631620.0
223,2017-04-10 07:00:00,947.0,7632923.0
224,2017-04-10 08:00:00,2777.0,9638470.0
225,2017-04-10 09:00:00,1901.0,11195571.0
226,2017-04-10 10:00:00,2010.0,12297114.0
227,2017-04-10 11:00:00,2081.0,9714717.0
228,2017-04-10 12:00:00,1731.0,9467339.0
229,2017-04-10 13:00:00,1601.0,7386191.0
230,2017-04-10 14:00:00,2289.0,8870131.0
231,2017-04-10 15:00:00,2172.0,12132396.0
232,2017-04-10 16:00:00,2045.0,8049567.0
233,2017-04-10 17:00:00,2242.0,11082928.0
234,2017-04-10 18:00:00,1893.0,21579565.0
235,2017-04-10 19:00:00,3203.0,15686486.0
236,2017-04-10 20:00:00,2597.0,13893239.0
237,2017-04-10 21:00:00,2965.0,13853022.0
238,2017-04-10 22:00:00,3379.0,16448108.0
239,2017-04-10 23:00:00,1374.0,5386753.0
240,2017-04-11 00:00:00,733.0,2847157.0
241,2017-04-11 01:00:00,495.0,1776676.0
242,2017-04-11 02:00:00,175.0,901626.0
243,2017-04-11 03:00:00,154.0,938000.0
244,2017-04-11 04:00:00,27.0,789454.0
245,2017-04-11 05:00:00,103.0,1094566.0
246,2017-04-11 06:00:00,339.0,1601000.0
247,2017-04-11 07:00:00,765.0,4167530.0
248,2017-04-11 08:00:00,674.0,2228370.0
249,2017-04-11 09:00:00,1620.0,7342999.0
250,2017-04-11 10:00:00,1857.0,7421793.0
251,2017-04-11 11:00:00,1683.0,5798378.0
252,2017-04-11 12:00:00,1626.0,9037321.0
253,2017-04-11 13:00:00,702.0,4538065.0
254,2017-04-11 14:00:00,1388.0,8158944.0
255,2017-04-11 15:00:00,947.0,4437275.0
